feature,importance
book_value_equity,0.965480966973634
enterprise_value,0.7672444147334732
scope2_location,0.6873239161267315
female_board,0.4916456551774731
scope1,0.47301051106358255
revenue,0.3681901886481041
debt_to_equity_ratio,0.26997478511764356
total_ghg_emission,0.23345795166169614
book_value_debt,0.2020764195306682
exp_controversial_products,0.1706765726169753
carbon_target,0.16440409113215396
high_impact_climate_sector,0.15353431289870417
report_biodiversity,0.1332480775412458
exp_debt_collection_or_loans,0.12478055125731946
carbon_intensity,0.11417820528081844
negative_affect_biodiversity,0.09692090737379844
female_board_share,0.06162525523493412
male_board,0.05958357732859491
fossil_fuel_sector,0.03512293172775695
exp_controversial_weapons,0.0
