organization_number,issuer_name,has_candidates,best_symbol,best_exchange,best_shortname,best_score,alternatives
199936189,AL Sydbank A/S,1,ALSYDB.CO,CPH,AL Sydbank A/S,200,TM2.F [FRA] || 0MGE.IL [IOB]
260002879,Coloplast A/S,1,COLO-B.CO,CPH,Coloplast B A/S,200,CBH.F [FRA] || CBHD.F [FRA]
147805458,DFDS A/S,1,DFDS.CO,CPH,DFDS A/S,200,29K.F [FRA] || 0RB3.IL [IOB]
199936490,DSV A/S,1,DSV.CO,CPH,DSV A/S,200,DS8.F [FRA] || DS81.F [FRA]
199936751,Danske Bank A/S,1,DANSKE.CO,CPH,Danske Bank A/S,200,DSN0.MU [MUN] || 0NVC.IL [IOB]
199939675,H. Lundbeck A/S,1,HLUN-A.CO,CPH,H. Lundbeck A/S A,200,HLUN-B.CO [CPH] || LDBA.F [FRA]
199936174,Jyske Bank A/S,1,JYSK.CO,CPH,Jyske Bank A/S,200,JYS1.DU [DUS] || JYSKC.XD [DXE]
199936757,Nordea Bank Abp,1,NDA-DK.CO,CPH,Nordea Bank Abp,200,NDA-FI.HE [HEL] || 04Q.F [FRA]
260002713,Novo Nordisk A/S,1,NOVO-B.CO,CPH,Novo Nordisk B A/S,200,0TDD.L [LSE] || NVO [NYQ]
199939732,Scandinavian Tobacco Group A/S,1,STG.CO,CPH,Scandinavian Tobacco Group A/S,200,8ZI.DU [DUS] || STGC.XC [CXE]
199936686,Vestas Wind Systems A/S,1,VWS.CO,CPH,Vestas Wind Systems A/S,200,VWSB.DU [DUS] || VWSB.DE [GER]
937903502,Aasen Sparebank,1,AASB.OL,OSL,AASEN SPAREBANK,198,
937885644,Aurskog Sparebank,1,AURG.OL,OSL,AURSKOG SPAREBANK,198,0DNT.L [LSE] || AURGO.XD [DXE]
998753562,Borregaard ASA,1,BRGO.OL,OSL,Borregaard ASA,198,BO4.DU [DUS] || BO4.MU [MUN]
984851006,DNB Bank ASA,1,DNB.OL,OSL,DNB BANK ASA,198,D1NC.F [FRA] || D1NC.HA [HAN]
911382008,Elkem ASA,1,ELKO.OL,OSL,Elkem ASA,198,1DP.MU [MUN] || ELK.OL [OSL]
811413682,Elopak ASA,1,ELO.OL,OSL,ELOPAK ASA,198,0AB3.IL [IOB] || ELOO.XC [CXE]
837895502,Haugesund Sparebank,1,HGSB.OL,OSL,HAUGESUND SPAREBANK,198,Y7I.F [FRA]
937901291,Melhus Sparebank,1,MELG.OL,OSL,MELHUS SPAREBANK,198,MELGO.XD [DXE] || K15.SG [STU]
966011726,Nordic Semiconductor ASA,1,NODO.OL,OSL,Nordic Semiconductor ASA,198,N0S0.F [FRA] || N0S.MU [MUN]
990906475,Pareto Bank ASA,1,PARBO.OL,OSL,Pareto Bank ASA,198,0RI3.L [LSE] || 8PB.F [FRA]
915691161,Rogaland Sparebank,1,ROGS.OL,OSL,ROGALAND SPAREBANK,198,ROGSO.XD [DXE] || 0FWN.L [LSE]
937885911,Romerike Sparebank,1,ROMER.OL,OSL,ROMERIKE SPAREBANK,198,92I.F [FRA] || 92I.DU [DUS]
960514718,SalMar ASA,1,SALMO.OL,OSL,SalMar ASA,198,JEP.F [FRA] || SALM.OL [OSL]
